NAME_ENGL,name,val,x,y
Armenia,Goal,29.8235294117647,7,3
Armenia,Goal,36.49019607843137,8,3
Armenia,Goal,23.3235294117647,9,3
Armenia,Goal,22.3235294117647,10,3
Armenia,Goal,23.3235294117647,11,3
Armenia,Goal,23.3235294117647,12,3
Armenia,Goal,22.3235294117647,13,3
Armenia,Goal,36.49019607843137,14,3
Armenia,Goal,23.3235294117647,15,3
Aruba,Goal,29.156862745098035,1,3
Aruba,Goal,27.023529411764702,2,3
Aruba,Goal,29.156862745098035,3,3
Aruba,Goal,24.8235294117647,4,3
Aruba,Goal,27.023529411764702,5,3
Aruba,Goal,27.023529411764702,6,3
Aruba,Goal,30.3235294117647,7,3
Aruba,Goal,41.8235294117647,8,3
Aruba,Goal,27.023529411764702,9,3
Aruba,Goal,29.156862745098035,10,3
Aruba,Goal,24.8235294117647,11,3
Aruba,Goal,30.3235294117647,12,3
Aruba,Goal,24.8235294117647,13,3
Aruba,Goal,27.023529411764702,14,3
Aruba,Goal,24.8235294117647,15,3
Australia,Goal,25.6235294117647,1,3
Australia,Goal,30.823529411764703,2,3
Australia,Goal,30.490196078431367,3,3
Australia,Goal,30.823529411764703,4,3
Australia,Goal,24.323529411764703,5,3
Australia,Goal,24.323529411764703,6,3
Australia,Goal,25.6235294117647,7,3
Australia,Goal,16.8235294117647,8,3
Australia,Goal,30.490196078431367,9,3
Australia,Goal,25.6235294117647,10,3
Australia,Goal,24.323529411764703,11,3
Australia,Goal,25.6235294117647,12,3
Australia,Goal,30.490196078431367,13,3
Australia,Goal,24.323529411764703,14,3
Australia,Goal,25.6235294117647,15,3
Austria,Goal,33.5735294117647,1,3
Austria,Goal,55.8235294117647,2,3
Austria,Goal,20.6235294117647,3,3
Austria,Goal,33.5735294117647,4,3
Austria,Goal,20.6235294117647,5,3
Austria,Goal,20.6235294117647,6,3
Austria,Goal,20.6235294117647,7,3
Austria,Goal,14.8235294117647,8,3
Austria,Goal,20.6235294117647,9,3
Austria,Goal,17.8235294117647,10,3
Austria,Goal,17.8235294117647,11,3
Austria,Goal,33.5735294117647,12,3
Austria,Goal,17.8235294117647,13,3
Austria,Goal,17.8235294117647,14,3
Austria,Goal,33.5735294117647,15,3
Azerbaijan,Goal,26.8235294117647,1,3
Azerbaijan,Goal,25.3235294117647,2,3
Azerbaijan,Goal,29.8235294117647,3,3
Azerbaijan,Goal,29.8235294117647,4,3
Azerbaijan,Goal,26.8235294117647,5,3
Azerbaijan,Goal,26.8235294117647,6,3
Azerbaijan,Goal,28.8235294117647,7,3
Azerbaijan,Goal,31.323529411764703,8,3
Azerbaijan,Goal,29.8235294117647,9,3
Azerbaijan,Goal,26.8235294117647,10,3
Azerbaijan,Goal,28.8235294117647,11,3
Azerbaijan,Goal,26.8235294117647,12,3
Azerbaijan,Goal,29.8235294117647,13,3
Azerbaijan,Goal,25.3235294117647,14,3
Azerbaijan,Goal,31.323529411764703,15,3
Bahamas,Goal,17.323529411764696,1,3
Bahamas,Goal,31.656862745098035,2,3
Bahamas,Goal,29.423529411764704,3,3
Bahamas,Goal,17.323529411764696,4,3
Bahamas,Goal,31.656862745098035,5,3
Bahamas,Goal,29.423529411764704,6,3
Bahamas,Goal,22.8235294117647,7,3
Bahamas,Goal,31.656862745098035,8,3
Bahamas,Goal,31.656862745098035,9,3
Bahamas,Goal,29.423529411764704,10,3
Bahamas,Goal,29.423529411764704,11,3
Bahamas,Goal,31.656862745098035,12,3
Bahamas,Goal,31.656862745098035,13,3
Bahamas,Goal,30.8235294117647,14,3
Bahamas,Goal,29.423529411764704,15,3
Bahrain,Goal,27.15686274509803,1,3
Bahrain,Goal,37.0735294117647,2,3
Bahrain,Goal,37.0735294117647,3,3
Bahrain,Goal,37.0735294117647,4,3
Bahrain,Goal,26.990196078431367,5,3
Bahrain,Goal,27.15686274509803,6,3
Bahrain,Goal,26.990196078431367,7,3
Bahrain,Goal,26.990196078431367,8,3
Bahrain,Goal,26.990196078431367,9,3
Bahrain,Goal,27.15686274509803,10,3
Bahrain,Goal,30.823529411764703,11,3
Bahrain,Goal,26.990196078431367,12,3
Bahrain,Goal,26.990196078431367,13,3
Bahrain,Goal,37.0735294117647,14,3
Bahrain,Goal,30.823529411764703,15,3
Bangladesh,Goal,20.8235294117647,1,3
Bangladesh,Goal,35.8235294117647,2,3
Bangladesh,Goal,26.490196078431364,3,3
Bangladesh,Goal,35.8235294117647,4,3
Bangladesh,Goal,35.8235294117647,5,3
Bangladesh,Goal,26.490196078431364,6,3
Bangladesh,Goal,20.8235294117647,7,3
Bangladesh,Goal,40.3235294117647,8,3
Bangladesh,Goal,35.8235294117647,9,3
Bangladesh,Goal,35.8235294117647,10,3
Bangladesh,Goal,35.8235294117647,11,3
Bangladesh,Goal,40.3235294117647,12,3
Bangladesh,Goal,35.8235294117647,13,3
Bangladesh,Goal,20.8235294117647,14,3
Bangladesh,Goal,26.490196078431364,15,3
Barbados,Goal,32.4235294117647,1,3
Barbados,Goal,32.4235294117647,2,3
Barbados,Goal,20.490196078431367,3,3
Barbados,Goal,43.823529411764696,4,3
Barbados,Goal,32.4235294117647,5,3
Barbados,Goal,33.023529411764706,6,3
Barbados,Goal,32.4235294117647,7,3
Barbados,Goal,20.490196078431367,8,3
Barbados,Goal,33.023529411764706,9,3
Barbados,Goal,20.490196078431367,10,3
Barbados,Goal,33.023529411764706,11,3
Barbados,Goal,33.023529411764706,12,3
Barbados,Goal,33.023529411764706,13,3
Barbados,Goal,32.4235294117647,14,3
Barbados,Goal,35.8235294117647,15,3
Belarus,Goal,23.423529411764697,1,3
Belarus,Goal,23.423529411764697,2,3
